Date,Precipitation,Max Temp,Mean Temp,Min Temp
1/26/2014,0,-3,-6,-9
1/27/2014,0.51,8,1,-6
1/28/2014,0,-6,-8,-11
1/29/2014,0.25,-3,-6,-9
1/30/2014,0,-1,-5,-9
1/31/2014,0,6,1,-6
2/1/2014,0,6,3,0
2/2/2014,0.51,13,6,-1
2/3/2014,4.32,5,1,-3
2/4/2014,0,2,-2,-5
2/5/2014,28.19,1,-2,-4
2/6/2014,T,-2,-4,-7
2/7/2014,0,-1,-4,-7
2/8/2014,0,-2,-4,-8
2/9/2014,0.76,-1,-3,-6
2/10/2014,T,-1,-4,-7
2/11/2014,0,-4,-7,-10
2/12/2014,0,-5,-9,-13
2/13/2014,25.4,2,-2,-6
2/14/2014,7.87,3,1,-2
2/15/2014,8.38,2,-1,-3
2/16/2014,0.51,1,-2,-5
2/17/2014,0,-2,-6,-10
2/18/2014,5.59,2,-4,-10
2/19/2014,6.35,2,-2,-6
2/20/2014,2.03,9,5,1
2/21/2014,5.59,7,4,1
2/22/2014,0,10,6,1
2/23/2014,0,11,6,1
2/24/2014,0,7,2,-4
2/25/2014,0,-2,-3,-6
2/26/2014,0,0,-4,-9
2/27/2014,0.51,-1,-6,-11
2/28/2014,0,-4,-8,-12
3/1/2014,0,2,-3,-9
3/2/2014,T,4,2,-1
3/3/2014,0,-1,-5,-9
3/4/2014,0,-1,-6,-11
3/5/2014,0,-2,-4,-7
3/6/2014,0,-4,-8,-12
3/7/2014,0,1,-4,-9
3/8/2014,0,13,5,-3
3/9/2014,0,6,3,-1
3/10/2014,0.76,7,2,-2
3/11/2014,0,16,8,1
3/12/2014,0.76,8,6,3
3/13/2014,0.25,3,-6,-8
3/14/2014,0,4,-2,-9
3/15/2014,0.25,14,9,3
3/16/2014,0,3,-1,-5
3/17/2014,0,-3,-6,-9
3/18/2014,0,1,-3,-7
3/19/2014,T,5,1,-3
3/20/2014,7.37,11,7,3
3/21/2014,0,7,4,1
3/22/2014,T,14,6,-2
3/23/2014,0,7,1,-6
3/24/2014,0,1,-4,-8
3/25/2014,0,4,-1,-6
3/26/2014,T,2,-1,-4
3/27/2014,0,8,1,-6
3/28/2014,0.51,16,9,2
3/29/2014,24.64,11,8,4
3/30/2014,56.64,6,4,2
3/31/2014,11.18,6,3,1
4/1/2014,0,8,5,1
4/2/2014,0,8,6,3
4/3/2014,0,12,7,1
4/4/2014,6.6,7,5,3
4/5/2014,5.84,12,8,3
4/6/2014,0,15,8,2
4/7/2014,1.02,15,9,3
4/8/2014,17.02,18,12,6
4/9/2014,0,15,10,5
4/10/2014,0,16,8,1
4/11/2014,T,21,15,9
4/12/2014,1.02,21,15,9
4/13/2014,1.02,17,12,7
4/14/2014,0,24,19,14
4/15/2014,15.75,20,13,5
4/16/2014,9.14,7,3,-1
4/17/2014,0,4,2,0
4/18/2014,0,6,3,-1
4/19/2014,0,17,10,3
4/20/2014,0,9,7,4
4/21/2014,0,21,12,2
4/22/2014,1.27,23,16,8
4/23/2014,5.84,14,11,8
4/24/2014,0,15,11,6
4/25/2014,0,14,10,6
4/26/2014,5.08,8,7,6
4/27/2014,3.81,10,8,5
4/28/2014,T,12,9,6
4/29/2014,T,7,6,6
4/30/2014,8.89,7,6,5
5/1/2014,15.75,16,11,7
5/2/2014,0.25,21,16,10
5/3/2014,0,19,15,10
5/4/2014,T,17,13,10
5/5/2014,0,19,14,10
5/6/2014,0,18,13,8
